order_id;created_at;customer_id;recommends;product_id;items_purchased;price_usd
1;2021-04-01 03:10:18;696;1;1;1;54,95
2;2021-04-01 05:08:56;272;0;1;2;29,95
3;2021-04-01 05:34:33;905;1;1;1;29,95
4;2021-04-01 07:30:33;1205;0;1;2;29,95
5;2021-04-01 08:08:28;1842;0;1;1;54,95
6;2021-04-01 09:36:08;1641;1;1;2;29,95
7;2021-04-01 10:16:31;611;0;1;1;29,95
8;2021-04-01 10:41:16;694;1;1;2;29,95
9;2021-04-01 12:23:04;801;1;1;2;29,95
10;2021-04-01 14:04:44;1405;1;1;1;29,95
11;2021-04-01 14:17:38;486;0;1;1;29,95
12;2021-04-01 15:12:39;1864;0;1;2;29,95
13;2021-04-01 15:18:13;1602;0;1;1;29,95
14;2021-04-01 15:31:07;14;0;1;1;29,95
15;2021-04-01 15:53:48;453;1;1;1;29,95
16;2021-04-01 16:01:08;276;0;1;1;29,95
17;2021-04-01 17:06:33;220;0;1;1;29,95
18;2021-04-01 17:20:12;169;1;1;1;29,95
19;2021-04-01 17:21:53;227;1;1;1;29,95
20;2021-04-01 18:00:32;298;0;1;1;54,95
21;2021-04-01 20:40:41;670;1;1;1;29,95
22;2021-04-01 22:05:22;1124;0;1;1;54,95
23;2021-04-01 22:28:53;951;1;1;2;29,95
24;2021-04-02 00:27:03;1009;1;1;1;29,95
25;2021-04-02 05:05:29;245;0;1;2;29,95
26;2021-04-02 05:23:35;1675;0;1;2;29,95
27;2021-04-02 07:40:02;62;0;1;1;29,95
28;2021-04-02 08:19:05;1685;1;1;1;54,95
29;2021-04-02 08:32:12;425;0;1;1;29,95
30;2021-04-02 10:44:33;791;1;1;2;54,95
31;2021-04-02 11:32:53;1137;1;1;1;29,95
32;2021-04-02 13:00:36;1719;1;1;1;29,95
33;2021-04-02 13:08:43;1947;0;1;1;29,95
34;2021-04-02 13:21:39;731;0;1;2;29,95
35;2021-04-02 14:08:33;571;1;1;2;54,95
36;2021-04-02 15:14:04;240;1;1;1;54,95
37;2021-04-02 16:01:51;1462;1;1;2;29,95
38;2021-04-02 16:23:18;814;0;1;2;29,95
39;2021-04-02 17:35:37;1759;0;1;2;54,95
40;2021-04-02 17:46:50;47;0;1;1;29,95
41;2021-04-02 18:10:33;1499;1;1;1;29,95
42;2021-04-02 18:22:37;1423;1;1;1;54,95
43;2021-04-02 18:34:53;1096;1;1;1;29,95
44;2021-04-02 19:17:02;214;0;1;1;29,95
45;2021-04-02 19:27:29;91;1;1;1;29,95
46;2021-04-02 19:31:25;1402;0;1;1;29,95
47;2021-04-02 20:32:29;1521;1;1;1;29,95
48;2021-04-02 20:45:34;1788;0;1;1;54,95
49;2021-04-02 21:25:50;903;0;1;1;54,95
50;2021-04-03 01:42:24;74;0;1;1;54,95
51;2021-04-03 03:34:17;794;1;1;1;29,95
52;2021-04-03 04:52:50;1044;0;1;1;29,95
53;2021-04-03 05:49:43;752;0;1;1;29,95
54;2021-04-03 07:13:50;1166;0;1;2;54,95
55;2021-04-03 08:12:48;1175;1;1;2;29,95
56;2021-04-03 10:24:58;838;1;1;1;54,95
57;2021-04-03 10:42:52;710;1;1;1;29,95
58;2021-04-03 12:33:30;1308;1;1;1;29,95
59;2021-04-03 13:28:40;1990;1;1;1;54,95
60;2021-04-03 13:30:14;146;1;1;1;54,95
61;2021-04-03 15:42:10;1356;0;1;1;29,95
62;2021-04-03 16:32:02;1059;0;1;2;29,95
63;2021-04-03 17:30:20;1651;1;1;1;29,95
64;2021-04-03 17:53:54;1099;1;1;2;54,95
65;2021-04-03 18:25:07;1490;0;1;1;29,95
66;2021-04-03 19:28:08;1073;0;1;2;29,95
67;2021-04-03 19:52:45;1064;1;1;1;29,95
68;2021-04-03 20:03:05;817;0;1;1;54,95
69;2021-04-03 20:45:21;243;0;1;1;54,95
70;2021-04-03 21:26:44;85;1;1;2;29,95
71;2021-04-03 21:27:35;703;1;1;2;54,95
72;2021-04-03 21:39:39;1411;0;1;2;29,95
73;2021-04-03 22:45:43;1831;1;1;2;29,95
74;2021-04-04 08:30:33;286;1;1;1;54,95
75;2021-04-04 10:22:03;1661;0;1;2;54,95
76;2021-04-04 10:53:25;1089;0;1;1;29,95
77;2021-04-04 12:24:37;1271;1;1;1;29,95
78;2021-04-04 12:37:37;202;0;1;1;54,95
79;2021-04-04 12:42:36;314;1;1;1;54,95
80;2021-04-04 13:02:22;42;1;1;2;29,95
81;2021-04-04 13:24:10;339;1;1;1;54,95
82;2021-04-04 14:56:12;1774;0;1;1;29,95
83;2021-04-04 15:06:09;540;0;1;1;54,95
84;2021-04-04 15:12:38;1896;1;1;1;29,95
85;2021-04-04 15:22:46;765;1;1;2;54,95
86;2021-04-04 16:10:27;1070;0;1;2;54,95
87;2021-04-04 16:18:27;1473;0;1;2;29,95
88;2021-04-04 16:46:58;1404;0;1;2;54,95
